index,sentence index,reviewText,overall,productID,positive rationale,negative rationale,positive rationale encoded,negative rationale encoded
10,12,"41 years later:

The cheese is government cheese.

The mice objected to the king's idea of good manners as species-centric, and rebelled.

The king blamed the peasants, and forbade them to keep cats or chase mice from their homes.

This made things worse. Peasants that could afford to do so moved as far away from mice as possible.

I can't wait for the next chapter.",3,1713353,"41 years later:

The cheese is government cheese.

The mice objected to the king's idea of good manners as species-centric, and rebelled.

The king blamed the peasants, and forbade them to keep cats or chase mice from their homes.

This made things worse. Peasants that could afford to do so moved as far away from mice as possible.

I can't \ wait \ for the next chapter.","41 years later:

The cheese is government cheese.

The mice objected to the king's idea of good manners as species-centric, and rebelled.

The king blamed the peasants, and forbade them to keep cats or chase mice from their homes.

This made things worse. Peasants that could afford to do so moved as far away from mice as possible.

I can't wait for the next chapter.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,13,"One of the best books I have ever read.  The message is deep wisdom that our government leaders and makers of US foreign policy would do well to internalize.

Your kids will like it too.",5,1713353,"One of the \ best \ books I have ever read.  The message is \ deep \ wisdom that our government leaders and makers of US foreign policy would do \ well \ to internalize.

Your kids will \ like \ it too.","One of the best books I have ever read.  The message is deep wisdom that our government leaders and makers of US foreign policy would do well to internalize.

Your kids will like it too.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,14,Finally back in print.  What an awesome book.  Loved it as a kid and now one of my kids' favorites.  So happy I can now purchase for my niece.,5,1713353,Finally back in print.  What an \ awesome \ book.  Loved it as a kid and now one of my kids' \ favorites \ .  So \ happy  \ I can now purchase for my niece.,Finally back in print.  What an awesome book.  Loved it as a kid and now one of my kids' favorites.  So happy I can now purchase for my niece.,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,15,"To summarize the story, it's all about trying to deal with the problem you have in the first place (mice), rather than bringing in solutions that create even worse problems (cats, dogs, lions and elephants).

But since you will likely be reading it to your kids, the story is not all that important at first.  I had this as a boy and enjoyed the drawings, which gets a kid hooked on a book before anything else.  My two-year-old LOVES this book, and fills in the words every time we get to words like ""king"" ""mice"" ""cheese"" ""lion"", etc.  He really has no idea what the story teaches, but he loves to read it with me, and that's the key to a great kid's book.",5,1713353,"To summarize the story, it's all about trying to deal with the problem you have in the first place (mice), rather than bringing in solutions that create even worse problems (cats, dogs, lions and elephants).

But since you will likely be reading it to your kids, the story is not all that important at first.  I had this as a boy and \ enjoyed \ the drawings, which gets a kid hooked on a book before anything else.  My two-year-old \ LOVES \ this book, and fills in the words every time we get to words like ""king"" ""mice"" ""cheese"" ""lion"", etc.  He really has no idea what the story teaches, but he \ loves \ to read it with me, and that's the key to a \ great \ kid's book.","To summarize the story, it's all about trying to deal with the problem you have in the first place (mice), rather than bringing in solutions that create even \ worse \ problems (cats, dogs, lions and elephants).

But since you will likely be reading it to your kids, the story is not all that important at first.  I had this as a boy and enjoyed the drawings, which gets a kid hooked on a book before anything else.  My two-year-old LOVES this book, and fills in the words every time we get to words like ""king"" ""mice"" ""cheese"" ""lion"", etc.  He really has no idea what the story teaches, but he loves to read it with me, and that's the key to a great kid's book.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,16,"I was given this book for my 8th birthday, in the year of its first publication. The Golden Treasury of Poetry was a constant companion; lost, alas, after ""growing up"" and making many life-moves. This year, 2009, 50 years after I first received this book, I recaptured it from a used book dealer in upstate NY, as a birthday present to myself for my 58th birthday. The book is my bridge back in time. A beloved collection of classics for children; don't let yours slip away!",5,1061240,"I was given this book for my 8th birthday, in the year of its first publication. The Golden Treasury of Poetry was a constant companion; lost, alas, after ""growing up"" and making many life-moves. This year, 2009, 50 years after I first received this book, I recaptured it from a used book dealer in upstate NY, as a birthday present to myself for my 58th birthday. The book is my bridge back in time. A \ beloved \ collection of classics for children; don't let yours slip away!","I was given this book for my 8th birthday, in the year of its first publication. The Golden Treasury of Poetry was a constant companion; lost, alas, after ""growing up"" and making many life-moves. This year, 2009, 50 years after I first received this book, I recaptured it from a used book dealer in upstate NY, as a birthday present to myself for my 58th birthday. The book is my bridge back in time. A beloved collection of classics for children; don't let yours slip away!","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,17,I had this book as a child and loved it. The collection of poems is a broad and deep as I remembered,5,1061240,I had this book as a child and \ loved \ it. The collection of poems is a \ broad \ and \ deep \ as I remembered,I had this book as a child and loved it. The collection of poems is a broad and deep as I remembered,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,18,"My aunt bought me this book in 1962 - I was ten years old. My younger sister and I read the poems and loved them all. We marked the book up by writing in it by trying to copy all the great illustrations in it. My dad, sister, and myself would read about Paul Revere's ride and The Common Cormorant and then talk about what we read. My father's favorite poem in it was The Children's Hour. When I was in my 30's I bought myself another copy of it. Both my sister and my dad have passed and this poetry book brings back all the memories that I shared with them. I'm 64 now and still remember the words to my favorite poems in this anthology. It will definitely make memories for any child who is lucky enough to get a copy.",5,1061240,"My aunt bought me this book in 1962 - I was ten years old. My younger sister and I read the poems and \ loved \ them all. We marked the book up by writing in it by trying to copy all the \ great \ illustrations in it. My dad, sister, and myself would read about Paul Revere's ride and The Common Cormorant and then talk about what we read. My father's \ favorite \ poem in it was The Children's Hour. When I was in my 30's I bought myself another copy of it. Both my sister and my dad have passed and this poetry book brings back all the \ memories \ that I shared with them. I'm 64 now and still remember the words to my \ favorite \ poems in this anthology. It will definitely make \ memories \ for any child who is \ lucky \ enough to get a copy.","My aunt bought me this book in 1962 - I was ten years old. My younger sister and I read the poems and loved them all. We marked the book up by writing in it by trying to copy all the great illustrations in it. My dad, sister, and myself would read about Paul Revere's ride and The Common Cormorant and then talk about what we read. My father's favorite poem in it was The Children's Hour. When I was in my 30's I bought myself another copy of it. Both my sister and my dad have passed and this poetry book brings back all the memories that I shared with them. I'm 64 now and still remember the words to my favorite poems in this anthology. It will definitely make memories for any child who is lucky enough to get a copy.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,20,This was a wonderful book so I got it as a gift for my niece. It's a very thick book full of different poems on many topics. You will be able to find many that you love.,5,1061240,This was a \ wonderful \ book so I got it as a gift for my niece. It's a very thick book full of different poems on \ many \ topics. You will be able to find many that you \ love \ .,This was a wonderful book so I got it as a gift for my niece. It's a very thick book full of different poems on many topics. You will be able to find many that you love.,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,21,"Looking for a Louis Untermeyer book  from the 1980s and this was not the one,",2,1061240,"Looking for a Louis Untermeyer book  from the 1980s and this was not the one,","Looking for a Louis Untermeyer book  from the 1980s and this was \ not \ the one,","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
19,22,Lifetime FAVORITE!,5,1061240,Lifetime \ FAVORITE! \,Lifetime FAVORITE!,"[0, 0, 1, 1, 0]","[0, 0, 0, 0, 0]"
20,23,Its lovely just what my husband was looking for and how he had remembered it,4,1061240,Its \ lovely \ just what my husband was looking for and how he had remembered it,Its lovely just what my husband was looking for and how he had remembered it,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,25,"The poetry and illustrations are splendid.  Although the book seems directed at children, adults will be inspired as well. It is one of those books that would stay in the family for generations.  ""Golden Treasury"" is the right name for it!  My dad gave me this book when I was about eight.-- this was in the seventies.  It inspired me to write poetry and I won a poetry contest in school because of it.  Somehow the collection reminds me of a better time, when people valued good things and were more sweet and innocent.",5,1061240,"The poetry and illustrations are \ splendid. \  Although the book seems directed at children, adults will be \ inspired \ as well. It is one of those books that would stay in the family for generations.  ""Golden Treasury"" is the right name for it!  My dad gave me this book when I was about eight.-- this was in the seventies.  It \ inspired \ me to write poetry and I won a poetry contest in school because of it.  Somehow the collection reminds me of a \ better \ time, when people valued \ good \ things and were \ more \ \ sweet \ and \ innocent \ .","The poetry and illustrations are splendid.  Although the book seems directed at children, adults will be inspired as well. It is one of those books that would stay in the family for generations.  ""Golden Treasury"" is the right name for it!  My dad gave me this book when I was about eight.-- this was in the seventies.  It inspired me to write poetry and I won a poetry contest in school because of it.  Somehow the collection reminds me of a better time, when people valued good things and were more sweet and innocent.","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,26,"I grew up with this poetry book.  I loved it then, I love it now.  Too bad it is out of print.",5,1061240,"I grew up with this poetry book.  I \ loved \ it then, I \ love \ it now.  Too bad it is out of print.","I grew up with this poetry book.  I loved it then, I love it now.  Too \ bad \ it is out of print.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
